Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1992,B,3/26/1992,9/22/1992,1701,0.88,-0.33,0,0.19
1992,D,5/19/1992,9/22/1992,1854,1.25,0.67,0,0.21
1993,A,3/31/1993,8/3/1993,1392,0.54,-3.94,0,0
1993,B,3/30/1993,9/24/1993,1701,0.85,-2.38,0,0.16
1993,D,3/31/1993,9/24/1993,1854,0.91,-0.43,0,0.29
1994,A,4/28/1994,10/31/1994,1390,0.56,-3.7,-0.47,0.26
1994,B,4/29/1994,10/31/1994,1700,1.3,-0.38,0,0.49
1994,D,4/29/1994,10/31/1994,1853,1.63,0.99,0,0.48
1995,A,4/19/1995,9/26/1995,1388,0.52,-4.06,0,0
1995,B,4/19/1995,9/26/1995,1699,0.73,-1.18,0,0.06
1995,D,4/19/1995,9/26/1995,1853,1.14,0.3,0,0.22
1996,A,4/19/1996,9/16/1996,1386,0.28,-3.62,nan,0
1996,B,4/18/1996,9/16/1996,1699,0.43,-0.89,0,0.05
1996,D,4/18/1996,9/16/1996,1853,1.16,0.68,0,0.26
1997,A,4/18/1997,9/15/1997,1383,0.46,-4.71,nan,0
1997,B,4/19/1997,9/15/1997,1698,0.7,-2.12,nan,nan
1997,D,4/19/1997,9/15/1997,1853,1.23,-0.53,0,0
1998,A,4/17/1998,9/23/1998,1381,0.37,-3.44,-0.16,0.05
1998,B,4/17/1998,10/2/1998,1697,0.58,-0.48,0,0.47
1998,D,4/15/1998,10/2/1998,1853,0.98,0.81,nan,0.55
1999,AE,4/22/1999,nan,1379,0.37,-3.88,0,nan
1999,A,4/22/1999,9/14/1999,1379,0.32,-4.35,0,0
1999,B,4/20/1999,9/14/1999,1697,0.91,-1.25,0,0.1
1999,D,4/20/1999,9/14/1999,1853,1.27,-0.04,0,0.23
2000,AE,4/21/2000,10/1/2000,1376,0.76,-1.94,nan,0.05
2000,A,4/21/2000,10/1/2000,1376,0.82,-2.47,nan,0.05
2000,B,4/20/2000,10/1/2000,1696,1.17,0.14,0,0.32
2000,D,4/20/2000,10/1/2000,1852,1.69,1.33,0,0.55
2001,LA,4/21/2001,9/10/2001,1291,0.61,-4.4,nan,0
2001,AE,4/20/2001,9/10/2001,1374,0.67,-3.42,0,0
2001,A,4/20/2001,9/10/2001,1374,0.68,-3.84,0,0
2001,B,4/20/2001,9/10/2001,1695,1.33,-0.93,0,0.06
2001,D,4/19/2001,9/10/2001,1852,1.68,0.33,0,0.11
2002,LA,4/17/2002,nan,1287,0.09,-4.99,-0.44,0
2002,AE,5/3/2002,10/10/2002,1372,0.2,-3.74,-0.06,0.17
2002,A,5/3/2002,10/10/2002,1372,0.28,-4.19,-0.06,0.18
2002,B,5/3/2002,10/10/2002,1695,0.69,-0.78,0,0.52
2002,D,5/3/2002,10/10/2002,1852,0.92,0.83,0,0.97
2003,LA,5/2/2003,10/17/2003,1284,0.73,-4.93,0,0.02
2003,AE,5/1/2003,10/17/2003,1370,0.91,-3.38,0,0.02
2003,A,5/1/2003,10/17/2003,1370,0.84,-3.86,0,0.02
2003,B,4/30/2003,10/17/2003,1694,1.47,-0.34,0,0.09
2003,D,4/30/2003,1/22/2004,1852,2.2,2.03,0,0.83
2004,LA,4/16/2004,8/14/2004,1280,0.37,-5.63,0,0
2004,AE,4/16/2004,9/30/2004,1367,0.4,nan,0,0
2004,A,4/16/2004,nan,1367,0.36,-6.55,0,0
2004,B,4/15/2004,nan,1693,0.7,-3.88,0,0
2004,D,4/15/2004,nan,1852,1.17,-0.54,0,0
2005,LA,4/14/2005,9/8/2005,1276,1.22,-4.9,-1.28,0
2005,A,4/14/2005,9/8/2005,1365,1.18,-4.31,-0.26,0
2005,B,4/13/2005,9/2/2005,1693,1.44,-1.47,0,0
2005,D,4/13/2005,9/8/2005,1851,1.98,0.66,0,0.29
2006,LA,4/20/2006,9/13/2006,1272,0.65,-4.05,-0.22,0
2006,A,4/19/2006,9/8/2006,1363,0.72,-3.71,-0.26,0
2006,B,4/19/2006,9/10/2006,1692,1.06,-0.25,nan,0.17
2006,D,4/19/2006,9/10/2006,1851,1.64,0.95,0,0.42
2007,LA,4/1/2007,9/6/2007,1268,nan,-5.72,nan,0
2007,A,4/18/2007,9/4/2007,1361,0.46,-5.25,-0.07,0
2007,B,4/18/2007,9/4/2007,1691,0.99,-1.74,0,0
2007,D,4/19/2007,9/4/2007,1851,1.74,0.23,0,0.01
2008,LA,4/1/2008,8/29/2008,1264,nan,-3.13,nan,0
2008,A,4/18/2008,8/29/2008,1358,0.48,-3.37,-0.35,0
2008,B,4/18/2008,10/25/2008,1691,0.65,0.33,-0.16,0.58
2008,D,4/17/2008,10/25/2008,1851,1.09,1.55,0,0.86
2009,LA,4/16/2009,9/8/2009,1260,0.86,-4.73,-0.02,0
2009,A,4/16/2009,9/8/2009,1356,0.67,-4.4,-0.18,0
2009,B,4/16/2009,9/9/2009,1690,1.14,-1.06,nan,0
2009,D,4/16/2009,9/9/2009,1851,1.4,0.32,0,0.11
2009,W,4/1/2009,9/9/2009,1946,nan,0.74,nan,0.2
2010,LA,4/15/2010,10/21/2010,1256,0.31,nan,-0.18,nan
2010,A,4/15/2010,10/21/2010,1352,0.3,-6.59,-0.4,0.01
2010,AB,4/13/2010,10/21/2010,1552,nan,nan,nan,0.02
2010,B,4/13/2010,10/21/2010,1689,0.57,-2.1,-0.14,0.1
2010,D,4/13/2010,10/22/2010,1850,0.82,-0.18,0,0.14
2010,W,4/1/2010,10/21/2010,1946,nan,0.1,0,0
2010,X,4/1/2010,10/22/2010,2030,nan,0.22,nan,0.12
2011,A,4/16/2011,8/23/2011,1348,0.19,-4.33,0,0
2011,AB,4/16/2011,8/23/2011,1550,0.15,-3.56,0,0
2011,B,4/16/2011,8/23/2011,1687,0.58,-1.73,0,0
2011,D,4/17/2011,8/25/2011,1849,0.57,-0.52,0,0.14
2011,V,4/18/2011,8/25/2011,1881,0.58,-1.06,0,0.04
2011,W,4/17/2011,8/26/2011,1946,0.73,nan,nan,nan
2011,X,4/17/2011,8/26/2011,2030,0.65,0.08,0,0.37
2012,A,4/17/2012,9/5/2012,1345,-0.01,-4.3,-0.5,0
2012,AU,5/4/2012,9/5/2012,1456,0.27,-2.9,-0.23,0
2012,AB,5/4/2012,9/5/2012,1548,0.38,-2.7,-0.14,0
2012,B,4/16/2012,9/5/2012,1686,0.65,-1.35,-0.32,0.03
2012,D,4/18/2012,9/5/2012,1848,1.02,0.47,0,0.23
2012,V,4/18/2012,9/7/2012,1881,0.77,0.17,0,0.17
2012,X,4/17/2012,9/8/2012,2030,1.29,1.47,0,0.32
2013,A,4/18/2013,8/26/2013,1341,0.47,-4.7,-0.07,0
2013,AU,4/18/2013,8/26/2013,1453,0.52,-3.73,-0.14,0
2013,AB,4/18/2013,8/26/2013,1545,0.52,-3.42,-0.11,0
2013,B,4/18/2013,8/27/2013,1684,1.06,-1.81,0,0.05
2013,D,4/16/2013,8/27/2013,1847,1.56,-0.04,0,0.16
2013,T,4/16/2013,8/26/2013,1869,1.85,0.47,nan,0.18
2013,V,4/1/2013,8/26/2013,1880,nan,-0.85,0,0.11
2013,X,4/20/2013,8/26/2013,2031,1.85,0.5,0,0.25
2014,A,4/17/2014,8/25/2014,1337,0.58,-2.78,-0.51,0
2014,AU,4/17/2014,8/25/2014,1451,0.68,-2.13,-0.59,0
2014,AB,4/17/2014,8/25/2014,1543,0.83,-1.42,nan,0
2014,B,4/17/2014,8/24/2014,1683,1.13,-0.31,0,0
2014,D,4/15/2014,8/24/2014,1846,1.52,0.95,0,0
2014,T,4/19/2014,8/26/2014,1869,nan,0.83,0,0
2014,V,4/18/2014,8/24/2014,1879,1.53,0.67,0,0
2014,X,4/19/2014,8/24/2014,2031,1.85,1.63,0,0.06
2015,A,4/16/2015,9/23/2015,1334,0.52,nan,-0.38,nan
2015,AU,4/16/2015,9/23/2015,1448,0.56,-3.62,-0.23,0.14
2015,AB,4/16/2015,9/23/2015,1541,0.58,-1.81,-0.3,0.21
2015,B,4/14/2015,9/23/2015,1682,0.78,-2.03,-0.01,0.23
2015,D,4/14/2015,9/24/2015,1845,0.82,-0.62,-0.07,0.35
2015,T,4/15/2015,9/24/2015,1869,1.12,nan,nan,0.38
2015,V,4/14/2015,nan,1879,0.96,-1.07,-0.04,nan
2015,X,4/15/2015,9/24/2015,2031,1.23,0.29,0,0.41
2016,AU,4/13/2016,8/28/2016,1446,0.74,-3.27,0,0
2016,AB,4/13/2016,8/28/2016,1539,0.83,-2.74,0,0
2016,B,4/12/2016,8/27/2016,1680,1.08,-1.25,0,0
2016,D,4/12/2016,8/27/2016,1844,1.15,-0.58,0,0
2016,T,4/14/2016,8/28/2016,1869,1.62,0.27,nan,0
2016,V,4/15/2016,8/27/2016,1878,1.41,-0.77,0,0
2016,X,4/14/2016,8/28/2016,2031,1.63,0.6,0,0
2017,AU,4/21/2017,8/22/2017,1445,0.33,-3.43,-0.74,0
2017,AB,4/19/2017,8/22/2017,1539,0.18,-3.78,-0.39,0
2017,B,4/19/2017,8/23/2017,1680,0.5,-1.89,-0.21,0
2017,D,4/19/2017,8/23/2017,1841,0.65,-0.69,-0.11,0.06
2017,T,4/20/2017,8/22/2017,1861,0.8,-0.51,-0.01,0.11
2017,V,4/19/2017,nan,1878,0.65,-1.36,-0.31,nan
2017,X,4/20/2017,8/22/2017,2026,0.73,-0.44,-0.09,0.21
2018,AU,4/23/2018,9/1/2018,1454,0.68,-2.71,-0.47,0
2018,AB,4/23/2018,9/1/2018,1546,0.71,-2.13,-0.37,0
2018,B,4/22/2018,9/1/2018,1693,0.95,-0.72,-0.11,0.03
2018,D,4/22/2018,9/1/2018,1854,1.27,0.33,0,0.06
2018,T,nan,9/2/2018,1869,nan,0.96,0,0.06
2018,V,4/23/2018,9/1/2018,1878,1.3,0.14,nan,0.04
2018,X,nan,9/2/2018,2030,nan,1.28,nan,0.13
2019,AU,4/26/2019,8/28/2019,1454,0.63,-4.29,-0.47,0
2019,AB,4/25/2019,8/28/2019,1546,0.76,-3.48,-0.5,0
2019,B,4/25/2019,8/28/2019,1693,0.96,-2.46,-0.14,0
2019,D,4/25/2019,8/28/2019,1854,1.21,-0.72,0,0.02
2019,T,4/26/2019,nan,1869,1.45,-0.13,0,nan
2019,V,4/25/2019,8/28/2019,1878,1.19,-1.72,0,0
2019,X,4/26/2019,nan,2030,1.37,0.79,0,nan
2020,AU,5/1/2020,8/22/2020,1454,0.95,-2.64,-0.47,0
2020,AB,4/30/2020,8/20/2020,1546,0.88,-2.48,-0.42,0
2020,B,4/30/2020,8/20/2020,1693,1.53,-0.63,0,0
2020,D,4/30/2020,8/20/2020,1854,1.85,0.78,0,0
2020,T,5/2/2020,8/21/2020,1869,2.09,1.23,nan,0
2020,V,4/30/2020,8/20/2020,1878,1.74,0.4,-0.23,0
2020,X,5/2/2020,8/21/2020,2030,2.05,1.5,0,0
2021,AU,4/27/2021,8/21/2021,1454,0.36,-2.87,-0.50,0.00
2021,AB,4/27/2021,8/21/2021,1546,0.44,-2.79,-0.35,0.00
2021,B,4/27/2021,8/21/2021,1693,0.85,-1.03,-0.48,0.06
2021,D,4/27/2021,8/21/2021,1854,1.09,0.42,-0.15,0.20
2021,T,NaN,8/22/2021,1869,nan,0.55,nan,0.19
2021,V,NaN,NaN,1878,nan,nan,nan,nan
2021,X,NaN,8/22/2021,2030,nan,0.56,nan,0.30
