Date,Maximum_Temperature,Minimum_Temperature,Precipitation,Elevation,Units,Source,Station_ID
4/6/1991,3.9,-4.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/7/1991,7.2,-5.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/8/1991,6.1,-6.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/9/1991,7.2,-6.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/10/1991,2.2,-7.2,1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/11/1991,2.8,-7.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/12/1991,6.7,-6.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/13/1991,6.1,-6.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/14/1991,2.2,-1.1,14.2,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/15/1991,5,-1.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/16/1991,4.4,-1.1,1.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/17/1991,,-2.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/18/1991,8.3,-1.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/19/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/20/1991,4.4,1.7,3.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/21/1991,6.1,-2.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/22/1991,7.8,0,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/23/1991,5.6,-2.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/24/1991,7.2,0,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/25/1991,10,0.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/26/1991,7.8,0.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/27/1991,9.4,2.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/28/1991,10,-1.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/29/1991,10.6,-0.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/30/1991,9.4,2.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/1/1991,,-0.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/2/1991,5.6,-0.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/3/1991,5,0,3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/4/1991,10,0.6,4.1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/5/1991,11.7,1.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/6/1991,11.1,3.3,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/7/1991,12.8,2.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/8/1991,11.1,0,0.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/9/1991,9.4,2.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/10/1991,10.6,2.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/11/1991,,0,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/12/1991,13.9,1.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/13/1991,14.4,0.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/14/1991,16.1,-0.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/15/1991,12.8,1.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/16/1991,11.1,2.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/17/1991,,,2,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/18/1991,11.7,1.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/19/1991,12.8,3.3,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/20/1991,16.1,4.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/21/1991,16.7,6.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/22/1991,21.1,6.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/23/1991,22.8,6.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/24/1991,20.6,5.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/25/1991,20,5.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/26/1991,11.7,3.3,0.5,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/27/1991,12.2,4.4,1.5,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/28/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/29/1991,15.6,6.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/30/1991,11.7,3.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
5/31/1991,13.9,3.3,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/1/1991,12.2,5,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/2/1991,12.2,5,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/3/1991,17.8,5,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/4/1991,13.9,6.7,0.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/5/1991,20.6,5.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/6/1991,,,2.5,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/7/1991,12.8,5,4.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/8/1991,16.1,5,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/9/1991,20,7.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/10/1991,21.1,3.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/11/1991,16.7,8.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/12/1991,21.1,8.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/13/1991,21.7,7.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/14/1991,20,8.3,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/15/1991,17.2,11.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/16/1991,16.1,9.4,1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/17/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/18/1991,15.6,5.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/19/1991,21.7,10.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/20/1991,28.3,11.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/21/1991,29.4,15.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/22/1991,27.8,15.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/23/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/24/1991,20.6,14.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/25/1991,21.7,12.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/26/1991,25.6,19.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/27/1991,22.2,11.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/28/1991,25.6,11.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/29/1991,28.3,13.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
6/30/1991,26.7,13.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/1/1991,23.9,12.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/2/1991,21.1,9.4,1.5,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/3/1991,20,12.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/4/1991,15,10,2.5,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/5/1991,,10,1.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/6/1991,18.9,8.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/7/1991,22.2,10.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/8/1991,18.3,11.7,3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/9/1991,,6.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/10/1991,17.2,8.3,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/11/1991,12.2,5.6,2.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/12/1991,12.2,8.3,15,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/13/1991,14.4,8.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/14/1991,14.4,9.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/15/1991,18.3,9.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/16/1991,13.9,10,7.1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/17/1991,15.6,7.2,4.1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/18/1991,12.8,7.2,0.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/19/1991,,,5.1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/20/1991,21.7,8.3,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/21/1991,23.3,13.3,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/22/1991,25,11.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/23/1991,23.3,10.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/24/1991,17.2,11.1,2.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/25/1991,20.6,8.3,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/26/1991,23.9,10.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/27/1991,23.3,11.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/28/1991,20,10.6,2.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/29/1991,14.4,8.9,19.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/30/1991,15,8.3,15.7,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
7/31/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/1/1991,20,3.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/2/1991,21.1,4.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/3/1991,18.3,4.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/4/1991,18.3,8.3,1.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/5/1991,15,8.3,6.4,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/6/1991,10.6,8.9,10.2,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/7/1991,13.3,8.9,4.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/8/1991,16.7,6.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/9/1991,17.8,8.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/10/1991,15.6,8.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/11/1991,14.4,8.3,3.6,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/12/1991,15,8.3,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/13/1991,,4.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/14/1991,14.4,8.9,1.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/15/1991,15,8.9,2.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/16/1991,19.4,9.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/17/1991,14.4,8.9,36.1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/18/1991,15,8.3,6.1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/19/1991,20,5.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/20/1991,20,6.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/21/1991,20,6.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/22/1991,16.1,9.4,7.4,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/23/1991,20,6.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/24/1991,17.8,9.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/25/1991,12.2,8.3,4.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/26/1991,13.9,4.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/27/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/28/1991,16.1,1.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/29/1991,,2.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/30/1991,,3.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
8/31/1991,21.1,1.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/1/1991,20,3.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/2/1991,21.1,4.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/3/1991,,3.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/4/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/5/1991,,7.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/6/1991,13.9,8.3,2.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/7/1991,10.6,8.3,2,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/8/1991,10,5.6,4.1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/9/1991,7.2,5,19.6,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/10/1991,9.4,5.6,6.1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/11/1991,,,2.5,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/12/1991,,6.1,5.1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/13/1991,10,2.2,1.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/14/1991,15.6,3.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/15/1991,11.7,5,7.1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/16/1991,,,,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/17/1991,,,,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/18/1991,,,,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/19/1991,,3.3,,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/20/1991,,,2.5,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/21/1991,13.3,2.8,2.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/22/1991,10,-0.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/23/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/24/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/25/1991,10.6,2.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/26/1991,10,4.4,4.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/27/1991,,,,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/28/1991,,,,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/29/1991,,,,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
9/30/1991,6.1,2.8,,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/1/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/2/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/3/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/4/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/5/1991,6.7,0,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/6/1991,,-1.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/7/1991,,-10,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/8/1991,-1.1,-11.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/9/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/10/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/11/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/12/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/13/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/14/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/15/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/16/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/17/1991,0.6,-7.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/18/1991,1.1,-6.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/19/1991,2.2,-1.1,2,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/20/1991,1.1,-5.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/21/1991,-1.7,-11.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/22/1991,-2.8,-11.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/23/1991,1.7,-10.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
10/24/1991,,-7.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
